prediction_gender,probability,status/day,status count,favorite count,follow/friend,follower count,gender
m,0.75,60.73379401,184570,12027,30.73341837,144570,male
f,0.95,2.243759178,1528,5662,0.247619048,26,female
f,0.95,48.29146275,177616,9180,12.1356493,14672,female
m,0.95,1.567432567,1569,462,0.618421053,94,male
f,0.75,0,0,0,0,0,female
f,0.75,0.456090652,1449,13414,1.194570136,264,female
m,0.95,1.114705882,1137,181,0.829931973,122,male
m,0.75,20.67156208,46449,44049,1.155440415,223,female
f,0.95,3.014840681,6907,622,1.4,539,female
m,0.95,76.52524302,244039,8,2.933090024,2411,male
f,0.95,0.892210145,985,18911,0.61299435,217,female
m,0.95,4.642378315,15928,3801,4.734956236,17311,male
f,0.75,28.61284459,94451,19922,1.443344334,2624,female
f,0.75,9.320394528,29294,224,1.054773083,674,male
f,0.75,0.511442063,1408,8,0.766233766,59,female
f,0.75,28.79140074,85712,25,1.860689655,1349,female
f,0.75,11.8622449,39525,721,0.772486772,438,female
f,0.75,3.710535527,10601,4302,1.214413768,3387,male
m,0.95,5.209677419,8721,5124,0.986326161,4905,male
m,0.75,0.787898936,1185,700,0.773333333,116,male
m,0.75,26.0333507,49958,884,2.404993065,1734,female
m,0.95,8.528539659,11505,0,0.274193548,187,male
f,0.75,12.84062343,25540,11492,0.413333333,310,male
m,0.95,5.25526075,5744,26,0.232753063,361,male
m,0.95,8.326077678,19508,3235,0.27561228,799,male
f,0.75,28.88838348,82563,6620,2.191111111,1479,female
m,0.95,7.765380206,20322,9896,1.233333333,666,female
f,0.75,9.522229595,14350,3134,2.8,420,male
m,0.95,4.543291139,8973,584,1.915,383,male
m,0.75,1.029335634,1193,960,11.66246057,3697,female
m,0.75,24.55719844,63112,70507,2.277624309,1649,female
f,0.95,39.37618637,45637,18075,1.001445087,693,female
m,0.75,53.12191958,122871,13150,1.139513109,1217,male
f,0.95,2.377184466,4897,2994,1.902439024,312,female
m,0.95,2.23913704,7369,29,0.547563805,236,male
m,0.95,1.408365828,3973,29989,13.87878788,458,male
f,0.75,1.76159373,2697,2360,1.064814815,115,female
f,0.95,0.168045113,447,478,0.165991903,41,female
m,0.95,7.32340588,19180,823,1.582089552,424,female
m,0.75,12.24201788,38342,24521,6.882191781,2512,female
f,0.95,7.509909166,18189,3678,335.25,1341,female
f,0.95,23.53948591,76009,14073,5.414201183,915,female
m,0.75,3.157723577,5826,1885,0.180803571,243,female
m,0.95,0.167671039,473,903,0.349090909,96,male
m,0.75,23.21360896,26951,7400,1.355297158,1049,male
f,0.75,0.724137931,21,19,1.185185185,32,female
f,0.95,0.355825959,965,336,0.390467461,426,female
m,0.75,47.68999114,53842,144,0.930361211,2859,male
m,0.95,4.615971654,16936,594,6.507681315,18215,male
f,0.75,34.05705059,94917,5233,16.16666667,5335,male
m,0.95,8.028677463,23797,5531,0.593663146,1068,male
m,0.95,7.779609544,17932,0,0.899835796,1644,male
m,0.95,14.62877132,33456,3392,2.652777778,1337,male
m,0.95,25.13647199,42179,12891,2.291946309,683,male
f,0.75,23.19299744,27159,146476,0.964082098,1691,female
m,0.95,9.985137409,35607,10044,0.539730135,1800,male
f,0.95,0.104402026,268,9700,8.935738444,7926,female
m,0.95,53.13176471,135486,15590,3.003931848,2292,male
f,0.95,2.3374613,3020,3360,0.826306914,490,female
f,0.95,11.61904762,13176,3983,0.764925373,1435,female
m,0.75,121.2669522,339790,20671,4.651442308,1935,female
m,0.95,6.390732624,10206,5017,1.997474747,791,male
m,0.95,13.43728928,39855,9893,1427.625,22842,male
m,0.95,2.868164063,2937,4055,0.274633124,131,male
m,0.75,5.884915475,9051,12155,1.349206349,595,female
f,0.75,8.057285181,25880,17497,0.931102362,1419,male
m,0.75,0.027586207,28,0,0.230769231,3,male
f,0.75,17.14384692,51963,42332,8.311068702,4355,female
