@relation stream

@attribute text_prediction numeric
@attribute name_prediction numeric
@attribute status/day numeric
@attribute favorite/day numeric
@attribute gender {male,female}

@data
0.114827,0.99,2.016105,0.070278,male
0.5,0.01,7.693424,3.489362,female
0.303445,0.74,9.954997,32.380429,female
0.148671,0.02,0.239171,0.285625,female
0.086096,0.72,3.633333,1.232927,male
0.092367,0.01,9.388747,10.012788,female
0.250592,0.5,7.292683,1.391463,female
0.5,0.86,0.398546,0.029679,male
0.000755,0.02,8.337021,0.003687,female
0.612867,0.5,0.643608,0.000876,male
0.116267,0.99,0.037037,0.16167,male
0.145531,0.5,0.554499,2.029993,female
0.036959,0.5,6.483497,5.336307,female
0.612867,0.74,0.648294,0.000875,male
0.917879,0.05,1.071045,0.085373,female
0.430597,0.98,11.591077,1.473714,male
0.5,0.03,80.530226,0.050983,female
0.5,0.5,33.204974,16.982847,male
0.40464,0.5,5.145536,7.354839,female
0.876548,0.02,8.92332,9.419979,female
0.5,0.5,48.625413,103.018624,male
0.088369,0.5,5.973812,0.599701,female
0.202,1,1.868852,1.135561,male
0.173795,0.3,0.071429,0,female
0.046453,0.45,3.328649,5.072432,female
0.538603,1,2.274637,0.101373,male
0.011593,0.5,14.436202,13.082097,female
0.5,0.02,1.48597,0.488309,female
0.177216,0,0.492212,0.154725,female
0.051135,0.02,3.166154,0.523077,female
0.753293,0.5,25.554729,0.390365,female
0.917622,0.96,4.45,0.02563,male
0.562417,0.88,4.2386,0.00106,male
0.64098,0.03,36.393142,1.620415,female
0.070441,0.02,0.687765,0.046638,female
0.466988,0.02,3.765451,1.110944,female
0.02716,0.94,43.042955,0.74055,male
0.86291,0.99,10.936406,1.717972,male
0.138832,1,6.701282,7.345299,male
0.5,0.75,0,0,male
0.39161,0.5,82.751422,1.547522,male
0.875604,0.97,0.244149,0.017078,male
0.21868,0.5,22.794717,3.473308,male
0.449475,0.62,0.255521,0.623554,male
0.5,0.04,25.727047,6.983871,male
0.98325,0.94,730.129062,0,male
0.046075,0.5,6.647016,0.007642,male
0.159869,0.01,0.027864,0.040248,female
0.039249,0.41,1.783425,5.469116,female
0.659586,0.99,0.492739,0.167012,male
0.191818,0.6,14.251787,0.384432,male
0.5,0.83,0,0,female
0.5,0.95,0,0,male
0.997595,0.64,0.018519,0,female
0.049424,0.02,6.215892,20.470765,female
0.298469,0.96,19.457841,1.802277,male
0.5,0.5,1.565262,1.23741,male
0.209223,1,13.741049,5.24771,male
0.01355,0.5,6.392491,0.15529,female
0.086677,0.29,128.267403,0.001657,female
0.023195,0.99,42.602827,0,male
0.54485,0.02,0.463515,0.166495,female
0.009621,0.09,35.98938,20.503074,female
0.37186,0.5,3.861374,1.317153,male
0.250268,0.39,0.007663,0,female
0.229794,0.03,0.019481,0,female
0.195228,0.02,12.951777,6.755499,female
0.031691,0.02,3.851204,4.30124,female
0.95255,0.33,0.390731,0.183244,male
0.030474,0.03,0.091999,0.02727,female
0.054879,0.02,13.80489,17.577345,female
0.231042,0.5,19.490372,3.657253,male
0.374469,0.02,13.497558,0.000543,female
0.180245,0.99,0.292523,0.293397,male
0.327304,0.99,2.458272,3.846999,male
0.5,0.5,1.78154,0.061715,male
0.332486,0.5,29.020922,11.331768,male
0.243462,0.98,16.691751,2.716715,male
0.38313,0.45,28.073798,49.735951,female
0.068991,0.88,0.79056,0.106195,male
0.041358,0.99,13.899012,2.919639,male
0.114294,0.96,0.365375,0.285788,male
0.237653,0.99,2.89172,0.485846,male
0.933864,0.98,16.666299,6.011038,male
0.5,0.99,3.936471,4.766471,male
0.152773,0.02,2.74679,0.007903,female
0.829057,0.32,6.21844,0.218976,male
0.806469,0.5,8.542695,2.717078,female
0.000003,0.96,5.185563,0.054477,male
0.353392,0.71,32.092587,0.913464,female
0.913573,0.93,15.978614,2.65911,male
0.689945,0.99,4.524578,0.040707,male
0.5,0.74,2.546607,5.729867,female
0.028824,0.6,5.162917,5.950349,male
0.466313,0.99,3.087258,0.108434,male
0.01705,0.01,2.210334,3.393528,female
0.343758,0.02,0.181818,12.545455,female
0.972795,0.99,77.861227,0.006254,male
0.011505,0.31,0.119621,0.182444,female
0.179655,0.02,0.878614,0.37259,female
0.23435,0.8,30.156869,0.876333,male
0.603999,0.99,52.199343,1.663696,male
0.249284,0.99,0.928039,0.318807,male
0.359016,0.62,63.154439,0.148744,male
0.492036,0.52,9.482675,1.875988,male
0.819694,0.99,3.844171,0.765294,male
0.463654,0.44,46.348824,8.519956,female
0.305182,0.92,0.999145,0.586826,male
0.053687,0.5,13.177831,11.498804,female
0.259709,1,0.315618,0.728308,male
0.507257,0.5,3.318039,0.052539,male
0.303266,0.31,3.110928,0.526991,female
0.5,0.02,12.030973,5.364843,female
0.370294,0.87,0.585984,0.455526,female
0.5,0.5,0.065744,2.936851,male
0.225476,0.5,11.810789,1.164251,female
0.337773,0.04,1.67916,2.043296,female
0.036221,0.58,4.024678,7.991026,female
0.393579,0.99,1.59753,0.335339,male
0.023283,0.56,56.253241,0.145748,female
0.762607,0.5,25.939278,0.035475,male
0.046428,0.05,4.841723,1.147651,female
0.402266,0.99,26.73423,6.758359,male
0.000003,0.99,0.22844,0.175229,male
0.924869,0.97,2.376079,0.532676,male
0.343108,0.5,0.335298,0.034178,male
0.436364,0.93,7.297595,0.236853,male
0.5,0.63,0,0.002063,female
0.715433,0.99,10.349227,1.704897,male
0.859011,0.5,2.772063,0.403898,female
0.978379,0.99,0.250559,0.001918,male
0.116305,0.5,14.572468,1.077926,female
0.294999,0.02,1.386945,0.217577,female
0.708854,0.98,1.956993,0.002549,male
0.780792,0.99,15.867068,0.005744,male
0.740997,0.09,1.888158,0.232057,female
0.339633,0.5,0.027203,0.003264,male
0.186055,0.17,4.0645,4.574594,female
0.237268,0.76,4.735561,3.731742,female
0.10383,0.58,1.686027,2.506849,female
0.916521,0.5,10.913482,0,male
0.5,0.02,1.306767,0.215046,female
0.08451,0.03,1.815256,3.855379,female
0.584258,0.5,5.267857,0.141949,female
0.712564,0.99,0.92368,0.785891,male
0.456753,0.95,84.606007,0.010601,male
0.061127,0.09,14.280374,2.84486,female
0.280797,0.04,4.868775,0.902372,female
0.5,0.27,18.362346,0.529801,female
0.812998,0.98,3.995313,0.435619,male
0.299131,0.94,6.312201,2.754486,male
0.024371,0.5,0.781818,1.828571,female
0.656795,0.98,1.425222,3.203719,male
0.456753,0.95,84.606007,0.010601,male
0.280969,0.92,37.346926,22.335971,male
0.656799,0.88,0.674669,0.051738,male
0.139049,0.93,5.962247,1.045393,male
0.614729,0.89,4.117699,6.630215,male
0.494828,0.79,0.104027,0.597315,male
0.259683,0.99,0.219819,2.952547,male
0.5,0.02,0.569738,0.295576,female
0.5,0.97,6.523485,3.498485,male
0.119841,0.9,1.584633,0.996288,female
0.0827,0.74,21.750738,3.679567,male
0.050937,0.04,0.190667,0.174222,female
0.937094,0.98,3.402632,1.537218,male
0.763438,0.98,31.979456,0.093051,male
0.991949,0.99,0.447045,0.118956,male
0.732856,0.5,3.236928,0.008824,female
0.5,0.17,9.264313,7.878817,female
0.212161,0.04,0.58046,0.558429,female
0.272322,0.02,14.099941,2.1279,female
0.110037,0.08,24.569626,15.315888,female
0.286808,0.03,1.22528,2.969419,female
0.078713,1,23.073074,2.913101,male
0.5,0.5,17.840716,12.668654,female
0.202041,0.52,4.245327,1.609034,female
0.170515,0.99,0.076825,0.34443,male
0.5,0.22,16.573077,4.10641,female
0.5,0.99,3.486056,0.916904,male
0.062996,0,0.367638,0.057347,female
0.334084,0.97,6.231721,8.910478,male
0.258728,1,7.819958,2.251221,male
0.82421,0.98,179.124,41.481538,male
0.664254,0.5,1.049848,0.611465,male
0.16154,0.02,7.7042,8.459339,female
0.063658,0.97,7.094079,1.278589,male
0.86361,1,5.790323,2.747408,male
0.613518,0.02,0.931169,0.00511,female
0.345521,0.99,5.030303,3.851852,male
0.35156,1,0.33716,2.323263,male
0.398212,0.97,11.745298,3.816844,male
0.602147,0.61,30.263057,5.210445,male
0.041175,0.04,53.104341,7.271842,female
0.097389,0.02,4.534492,0.870179,female
0.145335,0.93,16.781707,8.842056,male
0.375949,0.98,9.616186,11.41867,male
0.415898,0.59,1.234716,0.147926,male
0.027885,0.81,31.321521,0.016611,male
0.089184,0.06,6.675692,4.377256,female
0.452204,0.99,1.316179,1.303005,male
0.400195,0.99,0.384,0,male
0.252735,0.5,0.004882,0.005967,male
0.193102,0.5,4.925738,1.704985,female
0.837191,0.99,0.77657,0.005433,male
0.5,0.02,4.925159,5.656051,female
0.724588,0.89,1.817899,0.216861,male
0.617444,0.88,5.791515,0.867475,male
0.874671,0.99,46.092651,18.297425,male
0.094229,0.5,7.198602,2.533306,female
0.157147,0.41,21.310324,0.79952,female
0.548512,0.92,5.208797,0.754637,male
0.311893,0.75,3.771006,1.248585,male
0.939567,0.99,5.960392,9.127807,male
0.006016,0.5,2.800902,2.381668,male
0.66834,0.5,7.143508,0.247836,female
0.526687,0.02,4.115604,0.000476,female
0.5,0.5,0.001656,0.087748,male
0.5,0.02,5.340011,1.710596,female
0.054803,0.99,0.190614,0.374855,male
0.156815,0.3,14.667303,12.187589,female
0.065248,1,4.903161,0.477471,female
0.98343,0.5,34.055406,1.790799,male
0.5,0.5,5.431133,1.406333,female
0.948512,1,138.556846,0.13446,male
0.261856,0.96,0.337781,0.079233,male
0.456702,0.04,0.259806,0.013383,female
0.078447,0.01,5.792487,17.013715,female
0.404914,0.98,7.325524,0.449753,male
0.5,0.96,21.348065,1.102581,male
0.507257,0.5,3.318039,0.052539,male
0.002469,0.07,19.269309,6.828144,female
0.365734,0.5,31.928511,0.84693,female
0.5,0.99,5.753039,0.606846,male
0.981829,0.93,1.851748,0.052681,male
0.018614,0.5,13.059763,4.904197,female
0.5,0.12,0.562303,0.986955,female
0.177329,0.98,7.184773,2.461933,male
0.273631,0.5,11.49423,0.360127,male
0.785484,0.99,0.351716,0.006944,male
0.17196,0.99,36.520642,34.144495,male
0.707361,0.5,0.002342,0,female
0.144199,0.9,11.176106,1.68086,male
0.619564,0.94,1.70294,2.083032,male
0.890326,0.02,196.80389,0.352242,female
0.043793,0.5,20.984272,2.7793,female
0.165492,0.02,4.070767,0.333193,female
0.045063,0.04,13.891487,2.66386,female
0.185943,0.5,15.642554,0.129237,female
0.5,0.5,6.690332,0.856495,female
0.031405,0.5,21.702306,52.090147,female
0.731136,0.99,4.962406,0.01826,male
0.053775,0.02,11.54672,10.569085,female
0.452449,0.5,0.060019,0.006776,male
0.032677,0.5,8.327035,7.973837,female
0.399839,0.89,2.014919,0.992102,male
0.132721,0.03,11.010753,10.057634,female
0.671983,0.98,0.809293,0,male
0.190635,0.5,9.623735,0.567704,male
0.5,0.09,19.099138,0.003233,female
0.449418,0.15,1.748196,7.425822,female
0.683312,0.97,6.920386,0.53076,male
0.127845,0.77,4.972055,2.19381,female
0.455696,0.99,16.603505,0.064449,male
0.151076,0.5,15.356982,2.170796,male
0.089181,0.99,0.57519,0.779822,male
0.65479,0.99,13.835682,1.153683,male
0.226429,0.5,3.772705,5.37948,female
0.05339,0.5,16.948665,1.204517,female
0.034924,0.41,4.483624,5.214983,female
0.074346,0.78,4.998828,1.729191,female
0.400869,0.5,1.188354,0.668943,male
0.368581,0.99,2.621072,0.420702,male
0.5,0.59,0.000789,0.001577,female
0.133865,0.12,11.872034,7.107027,female
0.359637,0.85,5.941533,2.363762,male
0.112535,0.99,99.618501,3.005441,male
0.094325,0.5,15.742911,13.140231,male
0.692421,0.98,21.840753,0.001142,male
0.096771,0.02,3.139665,1.317638,female
0.046398,0.95,49.614265,38.836245,male
0.094465,0.99,4.393248,0.802311,male
0.513548,0.99,11.019463,0.065784,male
0.998508,0.5,0.040687,0.733273,female
0.495729,0.68,37.099639,0.631905,female
0.393234,0.05,0.343313,0.105788,female
0.20304,0.5,1.795812,1.817706,female
0.5,0.97,7.522519,0.668057,male
0.5,0.97,4.943646,0.909945,male
0.179454,0.7,25.082178,33.077228,male
0.790914,0.99,0.33325,0.120638,male
0.579859,0.29,11.894779,3.26943,female
0.073071,0.02,1.87155,1.788747,female
0.110608,0.83,14.840793,7.611902,male
0.042244,0.02,1.108937,0.891716,female
0.018049,0.99,50.501092,0.00437,male
0.5,0.99,59.931257,41.519871,male
0.139771,0.5,23.61728,0.25184,female
0.208726,0.99,3.635301,1.392066,male
0.995696,0.04,8.317296,0.041195,female
0.765655,0.62,2.285328,0.303969,female
0.419901,0.99,0.280934,0.112058,male
0.998945,0.99,0.152134,0.06679,male
0.198099,0.02,26.898981,15.434635,female
0.450881,0.73,0.008037,0.001148,female
0.100239,0.29,0.656015,0.109962,female
0.5,0.99,5.045954,6.688312,male
0.313717,0.97,11.583178,9.492336,male
0.575129,0.97,2.185066,0.254734,male
0.833903,0.02,5.164769,2.726055,female
0.578219,0.99,18.83992,10.582791,male
0.508287,0.03,4.662039,1.181779,female
0.104754,0.5,1.482197,2.546287,male
0.395929,0.5,14.980984,3.133526,male
0.287179,0.5,1.744132,0.326612,male
0.080478,0.87,7.44335,4.103,male
0.5,0.5,35.368815,21.043153,female
0.184651,1,3.432535,9.786255,male
